file,accession,prediction,probability,original_id,original_classification,DNA,LTR,LINE,SINE,Satellite,Structural_RNA,RC,PLE,Other,DNA/TcMar,DNA/PiggyBac,DNA/hAT,DNA/Merlin,DNA/MULE,DNA/Maverick,DNA/Kolobok,DNA/CMC,DNA/P,DNA/Harbinger,DNA/Dada,DNA/Crypton,DNA/Sola,DNA/Zator,DNA/Academ,DNA/IS3EU,DNA/Zisupton,DNA/Ginger,DNA/Novosib,LTR/ERV,LTR/Gypsy,LTR/DIRS,LTR/Pao,LTR/Copia,LTR/Caulimovirus,LINE/L1,LINE/R2,LINE/CR1,LINE/R1,LINE/Jockey-I,LINE/RTE,LINE/Rex-Babar,LINE/Dong-R4,LINE/L2,LINE/Proto2,LINE/CRE,LINE/Dualen,LINE/Proto1,LINE/Tad1,SINE/7SL,SINE/tRNA,SINE/5S,SINE/U,RC/Helitron
../flatworms-repeatmodler-results/fasciola_hepatica-families.fa,rnd-1_family-1,LTR/Gypsy,0.3037146031856537,rnd-1_family-1#Unknown,Unknown,0.22947393,0.59116167,0.050041154,0.03179428,0.028195174,0.0020231795,0.05175217,0.015357556,0.00020093225,0.037354853,0.02750299,0.03102184,0.0019361029,0.030836143,0.007624756,0.017715955,0.017517997,0.006244166,0.0134761715,0.008902155,0.006138662,0.007840641,0.0016050582,0.0047441395,0.002672659,0.0031234173,0.0029565163,0.00025970643,0.030586818,0.3037146,0.021958914,0.1868591,0.046794064,0.0012481359,0.0095945075,0.0052432707,0.004742582,0.0027120097,0.012897315,0.0017012459,0.0001628931,0.0005545978,0.006776452,0.00090667105,0.001272254,4.532805e-05,1.8342732e-07,0.0034318427,0.00078488066,0.030542744,0.00034148575,0.00012516564,0.05175217
../flatworms-repeatmodler-results/fasciola_hepatica-families.fa,rnd-1_family-105,LTR/Gypsy,0.3843030631542206,rnd-1_family-105#Unknown,Unknown,0.108391516,0.7831235,0.06476876,0.01308866,0.0044189463,0.0011359329,0.01916681,0.0058897347,1.6087975e-05,0.010275165,0.010089102,0.015298569,0.00050599896,0.008750253,0.0060924697,0.008987784,0.011689626,0.0030114816,0.009246259,0.004664465,0.0037435805,0.0048502465,3.5402747e-05,0.008506511,0.0002838504,0.00071670196,0.0011223627,0.0005216906,0.077994585,0.38430306,0.008162012,0.15127252,0.16067968,0.00071163836,0.012526737,0.003135339,0.0051556067,0.006468196,0.0042928937,0.013946583,0.0023263493,0.0042779795,0.004250337,0.0023571062,0.0020019128,0.00065433007,7.0253295e-06,0.0033683672,0.001004363,0.0116108,0.00023063793,0.00024285993,0.01916681
../flatworms-repeatmodler-results/fasciola_hepatica-families.fa,rnd-1_family-84,DNA/Maverick,0.8688643574714661,rnd-1_family-84#LINE/CR1,LINE/CR1,0.94711727,0.012490984,0.0363914,2.5768804e-11,5.959029e-06,8.90927e-11,0.0039480473,4.6179408e-05,6.1898945e-08,0.000657345,0.0072661643,0.00026450248,1.3938546e-07,0.039639972,0.86886436,0.0005434904,0.005633511,4.730722e-05,0.0030128546,0.001771186,9.7465876e-05,0.0011285519,3.911218e-08,0.016973082,0.0010433377,0.00017307365,9.773645e-07,7.762097e-12,0.0015569264,0.0064044343,0.0031920166,0.00025779783,0.0010798067,1.531695e-09,0.0019953498,4.255893e-05,0.021775143,0.0001418535,0.00835129,0.0030191322,2.0801933e-06,2.9807172e-06,0.00090408884,0.00011560047,2.8799559e-05,8.700246e-11,2.4500567e-14,1.2526091e-05,2.507422e-18,3.514251e-13,2.5417054e-11,3.2153506e-16,0.0039480473
../flatworms-repeatmodler-results/fasciola_hepatica-families.fa,rnd-1_family-0,PLE,0.38444048166275024,rnd-1_family-0#Unknown,Unknown,0.031598024,0.38019794,0.17029452,7.446124e-10,0.012821614,2.9542632e-14,0.02064743,0.38444048,3.0969957e-08,5.780876e-05,1.646896e-05,2.2420243e-05,7.94346e-11,0.027629906,0.0034509413,0.00019295792,0.00016937518,2.318669e-07,1.6439868e-05,5.468241e-07,3.2809944e-06,3.126291e-05,3.8663298e-11,1.9224349e-07,5.84963e-06,5.3930103e-11,3.3686797e-07,1.4072364e-12,0.002239371,0.3519469,0.0074396324,0.012251266,0.0063207783,7.510579e-10,0.0022246784,0.00015102615,0.0018684603,0.0003244452,0.16446027,0.00022109124,8.7219235e-08,1.3732647e-06,0.00046791986,2.4688369e-08,0.00042386472,3.3062759e-06,2.0523238e-12,0.0001479791,5.235735e-15,7.4434225e-10,2.6453045e-13,4.4338146e-16,0.02064743
../flatworms-repeatmodler-results/fasciola_hepatica-families.fa,rnd-1_family-59,LINE/CR1,1.0,rnd-1_family-59#LINE/CR1,LINE/CR1,1.8370199e-19,9.56052e-20,1.0,6.4688975e-35,3.9011343e-22,0.0,3.6675417e-24,2.733788e-29,3.83e-43,8.104764e-24,2.35436e-24,2.1667404e-22,2.5148812e-38,1.1759414e-19,2.7297867e-21,7.5538946e-24,5.880446e-23,8.184042e-26,5.2406598e-24,6.307917e-20,3.627825e-26,3.2640664e-26,6.66924e-40,3.0757255e-26,1.4219613e-34,1.200862e-39,6.303214e-39,5.6410135e-31,3.379708e-25,9.538516e-20,2.8968985e-26,2.1622488e-22,3.4327093e-24,1.249e-42,7.5778124e-19,4.8005764e-17,1.0,4.2043517e-13,3.0887067e-11,9.7216695e-14,1.1828939e-17,6.5612195e-14,5.099429e-13,1.83971e-22,1.9242796e-24,4.8635436e-24,4.2160073e-30,3.953577e-18,0.0,6.4688757e-35,2.15993e-40,0.0,3.6675417e-24
../flatworms-repeatmodler-results/fasciola_hepatica-families.fa,rnd-1_family-21,LTR/Gypsy,1.0,rnd-1_family-21#LTR/Gypsy,LTR/Gypsy,1.7056157e-14,1.0,2.0539874e-13,3.3451614e-34,1.7709242e-21,5.944e-42,3.45799e-16,1.0655985e-15,6.7559e-35,4.8678835e-19,6.334519e-18,5.075568e-17,1.5494579e-33,1.6375928e-15,1.5250694e-14,4.338112e-19,4.5546993e-17,1.1118298e-21,7.9285626e-18,5.730814e-22,5.6164564e-17,2.161465e-19,3.0740253e-30,3.135125e-22,3.5923175e-30,5.869666e-25,1.8831522e-21,1.1376486e-25,1.3996028e-13,1.0,1.0916522e-12,1.5952452e-12,9.950477e-13,1.5893136e-20,1.8907827e-13,1.2853425e-17,5.322154e-16,7.632333e-19,1.5708716e-14,2.6390676e-18,7.520149e-29,4.4972653e-24,2.8050224e-17,9.516958e-26,1.4706103e-17,2.2521498e-26,2.947508e-34,2.0515171e-17,2.276e-42,2.0563008e-34,1.2888606e-34,1.127e-42,3.45799e-16
../flatworms-repeatmodler-results/fasciola_hepatica-families.fa,rnd-1_family-110,LTR/Gypsy,0.7439680695533752,rnd-1_family-110#Unknown,Unknown,0.04337282,0.8321945,0.12366271,5.8924696e-09,1.5069229e-05,6.3356296e-08,0.00022157296,0.00053322775,2.5610477e-11,0.0004105408,0.00019108644,0.01660715,1.5755647e-08,0.020769136,0.0011310278,2.209241e-05,0.0036234267,3.3657534e-06,0.0005010584,1.1455643e-05,1.3344505e-05,2.6295002e-05,6.1568073e-10,6.121717e-05,1.2540869e-07,3.3573014e-07,1.2306935e-08,1.1335572e-06,0.06327175,0.74396807,0.0005440209,0.0053956886,0.019015009,8.072814e-09,0.017856728,0.0010711105,0.0008047656,0.07590756,0.0047627087,0.008053971,9.1118727e-07,0.009563142,0.0021951324,1.0472995e-05,1.6364616e-05,6.444617e-08,2.2888221e-12,0.0034197823,7.7599776e-13,5.4875353e-09,4.0298823e-10,1.1705859e-12,0.00022157296
../flatworms-repeatmodler-results/fasciola_hepatica-families.fa,rnd-1_family-57,LINE/CR1,0.8641675114631653,rnd-1_family-57#LINE/CR1,LINE/CR1,0.02807786,0.1065019,0.8650013,3.2342841e-16,9.650125e-07,9.853216e-17,5.6482757e-05,0.0003615229,3.0946667e-14,3.7034165e-06,6.474874e-07,1.2523623e-05,7.511561e-14,0.0006468145,0.023195071,2.3314426e-06,0.003456937,1.9851933e-07,0.0006876353,1.1219082e-05,7.478706e-07,4.3972767e-07,1.3598105e-12,5.9329872e-05,2.0814083e-08,2.3909035e-07,8.668384e-12,5.1583552e-17,0.0040056403,0.098465376,0.0012040483,0.0023258757,0.0005009741,8.538409e-12,2.2434033e-05,3.1878362e-06,0.8641675,8.004156e-09,0.000510906,2.5988516e-05,1.4503394e-07,4.2360296e-11,0.0001934843,3.8738822e-08,7.271775e-05,5.7959988e-11,3.538034e-14,5.0830254e-06,2.2032571e-23,1.9691789e-16,1.2651002e-16,4.6291125e-22,5.6482757e-05
../flatworms-repeatmodler-results/fasciola_hepatica-families.fa,rnd-1_family-38,LINE/RTE,1.0,rnd-1_family-38#LINE/RTE-BovB,LINE/RTE-BovB,2.2139297e-08,2.603878e-09,1.0,3.5033017e-19,1.6751385e-15,1.4531964e-27,2.0421229e-10,2.3199314e-11,2.1451878e-27,3.3285896e-09,1.30870965e-11,6.6462844e-09,1.3094928e-20,3.5361457e-11,2.803241e-10,1.1204289e-10,4.862118e-09,5.5178372e-14,1.2245938e-10,1.8243451e-12,7.34961e-10,2.6851061e-09,1.3317503e-18,3.3170804e-09,2.4019531e-15,5.0604898e-17,5.788096e-21,3.0084e-19,4.2782885e-11,2.3436961e-09,3.734478e-12,7.5343155e-11,1.383214e-10,3.903451e-24,7.887917e-12,3.8556067e-13,1.3704106e-09,1.6522805e-09,8.906349e-10,1.0,1.0580198e-10,1.3066799e-13,1.5633977e-11,1.3513876e-08,2.60049e-15,2.9548007e-15,2.5353848e-19,1.4355309e-10,3.6366864e-26,1.214099e-19,2.289195e-19,6.9881e-25,2.0421229e-10
../flatworms-repeatmodler-results/fasciola_hepatica-families.fa,rnd-1_family-107,DNA/MULE,0.42544037103652954,rnd-1_family-107#LINE/CR1,LINE/CR1,0.819604,0.07666557,0.10111424,2.621861e-16,0.00013519416,7.7532445e-19,0.0008129896,0.0016680539,5.518116e-16,2.1306032e-05,1.2718955e-07,8.243561e-05,4.884949e-13,0.42544037,0.38362238,4.9711193e-06,0.009644808,7.2428173e-07,0.00056131167,8.817438e-05,4.1519917e-05,1.558122e-06,7.4023724e-13,9.415593e-05,8.617245e-08,1.6582166e-10,2.45233e-11,1.3906555e-16,3.839744e-05,0.033803336,0.00039015154,0.041150644,0.0012830378,1.9213158e-13,6.108142e-05,1.6001951e-06,0.100321054,4.784077e-09,0.00037425043,5.2045147e-07,7.3335976e-10,4.202372e-12,0.00032248258,3.2377956e-10,3.3118053e-05,6.107695e-14,3.2603464e-14,1.4867733e-07,6.0905175e-25,2.521784e-16,1.0007701e-17,1.2823612e-23,0.0008129896
